city,country,yearly_avg,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
菏泽市,China,53.49,61.51,,47.25,43.23,38.83,35.92,27.27,24.31,24.54,56.88,59.01,
枣庄市,China,53.09,67.4,,68.65,50.78,40.03,46.29,25.31,18.42,47.32,44.32,98.77,72.66
濮阳市,China,53.06,77.21,,56.67,37.74,34.73,37.83,27.25,23.8,20.51,60.9,42.76,
运城市,China,53,,,58.88,57.56,50.03,29.08,37.06,31.69,29.43,37.63,37.06,94.36
Jabalpur,India,52.76,83.29,58.22,39,31.47,36.46,17.38,21.04,,14.76,40,,
咸阳市,China,52.72,,,27.73,42.64,35.16,24.64,49.87,34.96,25.67,14.8,40.19,
泰安市,China,52.71,73.29,,46.83,18.07,40.08,36.85,17.17,29.89,22.21,43.14,63.2,
平顶山市,China,52.64,71.24,,66.13,56.16,37.31,19.85,41.5,17.36,23.03,67.68,27.84,
吐鲁番地区,China,52.04,,81.15,30.35,36.6,,17.86,15.19,13.25,12.27,31.15,55.24,66.84
济宁市,China,51.98,85.07,,64.35,36.24,39.13,32.15,18.92,16.93,26.3,44.11,87.81,99.84
渭南市,China,51.91,92.45,,33.95,61.88,31.47,25.43,36.54,29.95,21.18,34.45,33.04,
鹤壁市,China,51.79,65.76,87.35,60.51,47.55,41.82,41.77,30.64,28.83,19.89,67.86,40.75,
周口市,China,51.78,91.05,87.76,55.13,49.91,41.78,19.66,31.6,18.86,17.55,46.64,73.39,
Pune,India,51.58,62.4,89.23,51.23,19.86,17.67,7.73,,,,,,65.99
济南市,China,51.41,61.12,86.24,61.5,22.37,34.09,31.48,20.28,23.94,23.2,51.69,,91.06
Katni,India,51.36,54.44,70,39.67,29.39,23.52,30.24,37.32,,21.06,50,94.9,
徐州市,China,51.24,65.57,,66.18,59.13,37.54,39.88,26.25,20.66,47.93,39.21,83.15,75.66
郑州市,China,51.23,67.02,,66.2,40,42.68,31.53,30.07,31.78,16.63,44.83,26.77,
荆门市,China,51.08,93.09,75.11,45.41,49.18,37.36,20.04,29.81,21.3,14.6,49.74,28.58,
聊城市,China,51.07,64.86,,51.86,29.8,41.58,34.82,19.55,28.2,20.57,68.87,65.42,88.2
Kaithal,India,51.02,78.92,40.77,24.86,19.8,51,20.16,52.05,,17.69,47.25,,
安阳市,China,50.88,86.05,90.61,60.41,48.29,38.08,41.86,31.11,26.86,21.47,61.03,34.53,98.96
Bhopal,India,50.03,,36.16,51.67,,33.31,19.71,13.03,,19.76,22,96.32,75.27
Pithampur,India,50.01,93,47.2,48.38,25.67,24.37,21.06,20.44,,,35.69,93.65,65.29
Ludhiana,India,49.96,,47.29,21.7,12.02,37.02,23.32,58.96,,23,43.21,,
洛阳市,China,49.96,61.14,,78.51,56.86,31.71,26.29,38.04,20.95,17.08,45.68,24.58,
Ahmedabad,India,49.77,76,68.84,45.82,24.38,27.16,31.03,20.05,,,42.36,72.24,99.6
淮南市,China,49.57,62.14,70.2,49.4,52.67,32.4,30.19,57.63,16.58,45.09,40.28,,72.06
